"species","organ","metabolite","concentration_ppm","stError_ppm"
"barbata","roots","oroxyloside",0.792593853739433,0.406033229630765
"barbata","roots","scutellarein",0,0
"barbata","roots","scutellarin",0,0
"barbata","roots","wogonin",5.5159457829745,0.478626144610343
"barbata","roots","wogonoside",4.06403145252705,0.696828272328142
"barbata","stems","acteoside",0,0
"barbata","stems","apigenin",0,0
"barbata","stems","apigeninG",0.234546655723521,0.0384724392380901
"barbata","stems","baicalein",0,0
"barbata","stems","baicalin",0,0
"barbata","stems","chrysin",0,0
"barbata","stems","chrysinG",0,0
"barbata","stems","hispidulin",0.135440011136307,0.0198276335421995
"barbata","stems","hispidulinG",0,0
"barbata","stems","isoscutellarin",6.14004687634893,0.942558692394208
"barbata","stems","oroxylinA",0,0
"barbata","stems","oroxyloside",0,0
"barbata","stems","scutellarein",2.72305022383746,0.324507166234038
"barbata","stems","scutellarin",2.62247907843693,0.579650816900242
"barbata","stems","wogonin",0.0478322938523145,0.0252221704658078
"barbata","stems","wogonoside",0,0
"hastifolia","leaves","acteoside",0,0
"hastifolia","leaves","apigenin",0,0
"hastifolia","leaves","apigeninG",0.712297007879296,0.11136410964279
"hastifolia","leaves","baicalein",0.230693024314026,0.0396205011579599
"hastifolia","leaves","baicalin",0,0
"hastifolia","leaves","chrysin",1.20514095408351,0.0624452618094541
"hastifolia","leaves","chrysinG",2.78513514647618,0.264702989468215
"hastifolia","leaves","hispidulin",0,0
"hastifolia","leaves","hispidulinG",0,0
"hastifolia","leaves","isoscutellarin",0,0
"hastifolia","leaves","oroxylinA",0,0
"hastifolia","leaves","oroxyloside",0,0
"hastifolia","leaves","scutellarein",1.33255484368334,0.326065979928001
"hastifolia","leaves","scutellarin",9.59960966229831,1.17994252589135
"hastifolia","leaves","wogonin",0,0
"hastifolia","leaves","wogonoside",0,0
"hastifolia","roots","acteoside",1.27035584114304,0.637118310315758
"hastifolia","roots","apigenin",0,0
"hastifolia","roots","apigeninG",0,0
"hastifolia","roots","baicalein",0.341846928040281,0.0371914433418246
"hastifolia","roots","baicalin",17.0448124718779,2.162391781602
"hastifolia","roots","chrysin",0,0
"hastifolia","roots","chrysinG",0,0
"hastifolia","roots","hispidulin",0,0
"hastifolia","roots","hispidulinG",0,0
"hastifolia","roots","isoscutellarin",0,0
"hastifolia","roots","oroxylinA",0.686859287698665,0.0876444902911507
"hastifolia","roots","oroxyloside",2.36358422040037,0.507780788961091
"hastifolia","roots","scutellarein",0,0
"hastifolia","roots","scutellarin",0.295766550787597,0.151157363599477
"hastifolia","roots","wogonin",9.20240780148689,1.05568904278613
"hastifolia","roots","wogonoside",7.26471864875745,1.02205259540308
"hastifolia","stems","acteoside",0,0
"hastifolia","stems","apigenin",0,0
"hastifolia","stems","apigeninG",0,0
"hastifolia","stems","baicalein",0.114892958210678,0.0529843940308976
"hastifolia","stems","baicalin",0.788517391335969,0.687584421425788
"hastifolia","stems","chrysin",0.093306741601686,0.0059851429649672
"hastifolia","stems","chrysinG",1.11825509552159,0.1034362555904
"hastifolia","stems","hispidulin",0,0
"hastifolia","stems","hispidulinG",0,0
"hastifolia","stems","isoscutellarin",0.297360973956657,0.0452956999298577
"hastifolia","stems","oroxylinA",0,0
"hastifolia","stems","oroxyloside",0,0
"hastifolia","stems","scutellarein",0,0
"hastifolia","stems","scutellarin",2.49825242867007,0.223615049701041
"hastifolia","stems","wogonin",0.484390098618749,0.344313219632404
"hastifolia","stems","wogonoside",1.85733252660215,0.773736975086897
"havanensis","leaves","acteoside",52.1175166313266,29.5066754262493
"havanensis","leaves","apigenin",0.306561815451074,0.0338007722674102
"havanensis","leaves","apigeninG",3.49518608788178,0.685558387432767
"havanensis","leaves","baicalein",0.113698230742282,0.0395367160366538
"havanensis","leaves","baicalin",69.6941207957771,15.3506789118116
"havanensis","leaves","chrysin",5.40873493490493,0.806460226052808
"havanensis","leaves","chrysinG",39.6805515704702,9.01631127603155
"havanensis","leaves","hispidulin",0,0
"havanensis","leaves","hispidulinG",0,0
"havanensis","leaves","isoscutellarin",0,0
"havanensis","leaves","oroxylinA",0.0219935862075778,0.0219935862075778
"havanensis","leaves","oroxyloside",0,0
"havanensis","leaves","scutellarein",0,0
"havanensis","leaves","scutellarin",29.5881662471382,6.25883601953851
"havanensis","leaves","wogonin",0.0635983648049756,0.0351771480963465
"havanensis","leaves","wogonoside",0.615667511598934,0.400044827601397
"havanensis","roots","acteoside",0,0
"havanensis","roots","apigenin",0,0
"havanensis","roots","apigeninG",0,0
"havanensis","roots","baicalein",0.183014548491956,0.0234830012785897
"havanensis","roots","baicalin",85.2803760113567,3.85790720235305
"havanensis","roots","chrysin",1.13765944813316,0.0997466170103515
"havanensis","roots","chrysinG",7.01151306047955,0.451123937907354
"havanensis","roots","hispidulin",0,0
"havanensis","roots","hispidulinG",0,0
"havanensis","roots","isoscutellarin",0,0
"havanensis","roots","oroxylinA",0.354211415858913,0.0945773642070077
"havanensis","roots","oroxyloside",7.08774937756655,1.46450967020858
"havanensis","roots","scutellarein",0,0
"havanensis","roots","scutellarin",0,0
"havanensis","roots","wogonin",4.03609280064146,0.336449744577897
"havanensis","roots","wogonoside",25.5199409318318,0.907221157463934
"havanensis","stems","acteoside",0,0
"havanensis","stems","apigenin",0,0
"havanensis","stems","apigeninG",0.389943224967212,0.0990252384863985
"havanensis","stems","baicalein",0.0578336593034299,0.00273299052166972
"havanensis","stems","baicalin",30.9696886906282,0.466632036597105
"havanensis","stems","chrysin",1.26439032201706,0.330417878703883
"havanensis","stems","chrysinG",8.4604899545745,0.234571376130862
"havanensis","stems","hispidulin",0,0
"havanensis","stems","hispidulinG",0,0
"havanensis","stems","isoscutellarin",0,0
"havanensis","stems","oroxylinA",0.151600110516479,0.0407484215604881
"havanensis","stems","oroxyloside",3.54889836322654,0.220096576227917
"havanensis","stems","scutellarein",0,0
"havanensis","stems","scutellarin",1.12823545417991,1.12823545417991
"havanensis","stems","wogonin",1.54174228795616,0.211973550213829
"havanensis","stems","wogonoside",6.39885265916715,0.0877414672157909
"leonardii","leaves","acteoside",0.465303788914546,0.465303788914546
"leonardii","leaves","apigenin",0.145237495202206,0.0174866185154333
"leonardii","leaves","apigeninG",0,0
"leonardii","leaves","baicalein",0.291535626871192,0.0444886741134216
"leonardii","leaves","baicalin",0.152316223071517,0.0761972558120558
"leonardii","leaves","chrysin",32.2153295409929,0.916954782103013
"leonardii","leaves","chrysinG",1.70092192622629,0.197507705160085
"leonardii","leaves","hispidulin",0.197256347494015,0.0220223891974332
"leonardii","leaves","hispidulinG",0,0
"leonardii","leaves","isoscutellarin",0,0
"leonardii","leaves","oroxylinA",0.841981648520268,0.151146560401217
"leonardii","leaves","oroxyloside",0,0
"leonardii","leaves","scutellarein",0.310755529979269,0.0539688079179528
"leonardii","leaves","scutellarin",0,0
"leonardii","leaves","wogonin",0.1051925926435,0.1051925926435
"leonardii","leaves","wogonoside",0.144285679657685,0.0351317346526474
"leonardii","roots","acteoside",1.17190700517541,1.17190700517541
"leonardii","roots","apigenin",0.0822584043623114,0.0411342799907363
"leonardii","roots","apigeninG",0,0
"leonardii","roots","baicalein",0.161133336154124,0.034007124634699
"leonardii","roots","baicalin",11.9501525740163,2.09270117228551
"leonardii","roots","chrysin",0.503399369561885,0.103695111570684
"leonardii","roots","chrysinG",0.383073632575525,0.0845968119561266
"leonardii","roots","hispidulin",0.155389493343271,0.0400101175899489
"leonardii","roots","hispidulinG",0,0
"leonardii","roots","isoscutellarin",0,0
"leonardii","roots","oroxylinA",2.65020665981367,0.44400809376505
"leonardii","roots","oroxyloside",5.02088958026091,0.767004493305118
"leonardii","roots","scutellarein",0,0
"leonardii","roots","scutellarin",1.89379862789447,0.446019180713335
"leonardii","roots","wogonin",7.99049257239,1.56997586116962
"leonardii","roots","wogonoside",0,0
"leonardii","stems","acteoside",0,0
"leonardii","stems","apigenin",0.0332101723257114,0.0332101723257114
"leonardii","stems","apigeninG",0,0
"leonardii","stems","baicalein",0.464771109788505,0.193553593834893
"leonardii","stems","baicalin",0.376055665416967,0.188423888846187
"leonardii","stems","chrysin",6.82788394519083,0.516360194808722
"leonardii","stems","chrysinG",1.9569390931793,0.67622008944353
"leonardii","stems","hispidulin",0.111751538429394,0.00594065626778335
"leonardii","stems","hispidulinG",0,0
"leonardii","stems","isoscutellarin",0,0
"leonardii","stems","oroxylinA",0.52575729263813,0.0363543529009926
"leonardii","stems","oroxyloside",0.0784130054405668,0.0784130054405668
"leonardii","stems","scutellarein",0.159717493089096,0.0179759227073879
"leonardii","stems","scutellarin",0.369062153524475,0.187302946319205
