"species","organ","metabolite","concentration_ppm","stError_ppm"
"strigillosa","stems","baicalein",0.481525342823086,0.0757397426982015
"strigillosa","stems","baicalin",9.84070664652439,1.40882971765123
"strigillosa","stems","chrysin",0,0
"strigillosa","stems","chrysinG",0.307569520299488,0.158677335048449
"strigillosa","stems","hispidulin",0,0
"strigillosa","stems","hispidulinG",0,0
"strigillosa","stems","isoscutellarin",0.0441977633544896,0.0441977633544896
"strigillosa","stems","oroxylinA",0,0
"strigillosa","stems","oroxyloside",0,0
"strigillosa","stems","scutellarein",0,0
"strigillosa","stems","scutellarin",1.59888155487809,0.148607026107377
"strigillosa","stems","wogonin",0.91327750720497,0.171531368551815
"strigillosa","stems","wogonoside",1.55856861069051,0.257404269564465
