"","species","organ","acetoside","apigenin","apigeninG","baicalein","baicalin","chrysin","chrysinG","hispidulin","hispidulinG","oroxylinA","oroxyloside","scutellarein","scutellarin","wogonin","wogonoside"
"42","longifolia","leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,0.131296657339977,0.0837165543794776
"43","lutea","stems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","lutilaba","leaves",0,0.270578901180093,0.616774937229003,0,0,0,0,0,0,0,0.0529957724233293,1.09593672060349,5.19045270881192,0,0
"45","lutilaba","stems",0,0,0.386807322650541,0,0,0,0,0.201808068922636,0,0,0.169152080177413,1.73137111634944,2.99066898004924,0,0.157972263582167
"46","microphylla","leaves",0.428469213745969,0.184177755719598,0,1.0755951223041,5.72724261161219,0.603906116102714,1.86971138685926,0.306509678008802,0,0.244425026119101,2.55506229788957,0,0.822662779083095,0.237125043160663,0
"47","microphylla","stems",0,0.335538792266891,0.167145079577212,0.230546040813394,4.15831674013566,0.220067482986583,1.28874289098589,0.120923857211876,0,0.321173128541177,4.13086118348686,0,0,0.260374487994561,1.3558583681847
"48","multicaulis","stems",0.12576996081712,0,0,0,0.0711470882145262,0,0.142588722564062,0,0,0,0,0,0,0,0.0753078791921025
"49","multiglandulosa","leaves",0,0,0.161148993675923,0,0,0,0.0399943977923588,0.196218929839187,0,0,0,0.142293660772626,0,0,0.0146762127072126
"50","muriculata","stems",0,0,0,0,0.234688077461443,0,0,0.0876678296910894,0,0.0466309518249156,0.436042889292722,0.0483795079924909,0,0.9924836133392,0.743234624706371
"51","oblonga","leaves",0,0,0,0,0.155035055701512,0,0,0,0,0,0.188044713913664,0,0,0,0
"52","orientalis","leaves",0,0,0,0.739903933835661,10.5102455007547,0.201311260049449,0.695321663678672,0,0,0,0,0.293992212196408,0,0.425107898776152,2.14502006056986
"53","orientalis","stems",0,0,0,0.555540133565342,5.55814888802323,0,0.395272658193862,0,0,0.11102733365428,0.760822367817326,0.201044846397575,0,1.24520553584238,1.86504264565745
