,species,organ,metabolite,concentration_ppm,stError_ppm
87,epilobiifolia,all,scutellarin,0.083655507,NA
88,formosa,all,scutellarin,0,NA
89,fruticosa,all,scutellarin,0,NA
90,galericulata,all,scutellarin,0,NA
91,holmgreniorum,all,scutellarin,0,NA
92,hookeri,all,scutellarin,0,NA
93,isocheila,all,scutellarin,0,NA
94,lateriflora,all,scutellarin,0,NA
95,longifolia,all,scutellarin,0,NA
96,lutilaba,all,scutellarin,18.91475334,NA
97,microphylla,all,scutellarin,1.267997563,NA
98,orientalis,all,scutellarin,0,NA
99,ovata,all,scutellarin,7.571184844,NA
100,parvula,all,scutellarin,1.082855812,NA
101,potosina,all,scutellarin,2.159797253,NA
102,pulchella,all,scutellarin,0,NA
103,resinosa,all,scutellarin,7.930975812,NA
104,sapphirina,all,scutellarin,0,NA
105,serrata,all,scutellarin,0,NA
106,siphocampuloides,all,scutellarin,0,NA
107,splendens,all,scutellarin,0.902270318,NA
108,tessellata,all,scutellarin,6.393633363,NA
109,alpina,all,hispidulin,0.038731649,NA
110,altissima,all,hispidulin,0,NA
111,astinae,all,hispidulin,0,NA
112,coerulea,all,hispidulin,0.03296838,NA
113,costaricana,all,hispidulin,0,NA
114,epilobiifolia,all,hispidulin,0,NA
115,formosa,all,hispidulin,0.358438176,NA
116,fruticosa,all,hispidulin,1.381511454,NA
117,galericulata,all,hispidulin,0,NA
118,holmgreniorum,all,hispidulin,0,NA
119,hookeri,all,hispidulin,0,NA
120,isocheila,all,hispidulin,0.012456098,NA
121,lateriflora,all,hispidulin,0,NA
122,longifolia,all,hispidulin,0,NA
123,lutilaba,all,hispidulin,0.302974454,NA
124,microphylla,all,hispidulin,0.427803978,NA
125,orientalis,all,hispidulin,0,NA
126,ovata,all,hispidulin,0,NA
127,parvula,all,hispidulin,0,NA
128,potosina,all,hispidulin,0.358066352,NA
129,pulchella,all,hispidulin,0,NA
130,resinosa,all,hispidulin,0.884413974,NA
131,sapphirina,all,hispidulin,0,NA
132,serrata,all,hispidulin,0,NA
133,siphocampuloides,all,hispidulin,0,NA
134,splendens,all,hispidulin,0,NA
135,tessellata,all,hispidulin,0.324571222,NA
136,alpina,all,hispidulinG,0,NA
137,altissima,all,hispidulinG,0,NA
138,astinae,all,hispidulinG,0,NA
139,coerulea,all,hispidulinG,10.56539165,NA
140,costaricana,all,hispidulinG,0,NA
141,epilobiifolia,all,hispidulinG,0,NA
142,formosa,all,hispidulinG,0,NA
143,fruticosa,all,hispidulinG,0,NA
144,galericulata,all,hispidulinG,0,NA
145,holmgreniorum,all,hispidulinG,0,NA
146,hookeri,all,hispidulinG,0,NA
147,isocheila,all,hispidulinG,0,NA
148,lateriflora,all,hispidulinG,0,NA
